detector,accuracy_clean,f1_clean,accuracy_obfuscated,f1_obfuscated,f1_drop_evasion,latency_mean_ms,latency_p95_ms,cpu_time_seconds_per_200,peak_memory_mb
naive_bayes,1.0,1.0,0.8206627680311891,0.7654103219238092,0.2345896780761908,0.8518253149907196,0.9771344999307984,0.4166382740000003,0.07741355895996094
signature_baseline,0.9454191033138402,0.9416156716006637,0.7680311890838206,0.7159864542465226,0.2256292173541411,0.008452374997887091,0.01826814996093162,0.004325490000000265,0.0018062591552734375
svm,1.0,1.0,0.7524366471734892,0.6704904085052291,0.3295095914947709,3.526924150008881,3.839491699909558,1.8839149299999995,0.032806396484375
logistic_regression,1.0,1.0,0.7485380116959064,0.6644694493699745,0.33553055063002546,0.8521094149841701,0.9601425999221647,0.4457252720000002,0.017713546752929688
